,sadness Tweets
1094, myntra  I understand that due to  COVID19  pandemic  situation  it is very obvious to expect some delay But now 21 days have passed but there is no any information regarding status of my shipments Only a system generated message is flashing on your wall and I have tried several 2n
1095,I Chirag Mahyavanshi LeicesterUK recently came back UK from  India  and I’m unemployed  completely selfisolated but after this  lockdown   extension  living other bills also seems in trouble Maybe many facing the samePlease try to evacuate us narendramodi  PMOIndia  MEAIndia
1096, DeSantisBetrayedFlorida  It didnt have to be this way Its concerning from every perspective  06182020 and the  Covid19   situation  in Florida is worse than ever
1097, Lockdown4   The poor  is still suffering The govt  is taking credit for fooling the citize In the name of relief package the govt is just giving you a indirect loan which has to be repaid Sad reality of India  COVID  covid19   pictwittercomUx9jQQ5tLd
1098,GOI still planning after 60days of  COVID19  for evacuation of Indians in Latin America Mexico instd of implement the solution at this stage of crisis  situation  strange but expected behavior of GOI and Embassy of India is clueless just say pls wait265indiansstrandedinMEXICO
1099,Request to evacuate stranded Indians from neibour country Srilankawe loose our all saving and are in a distress  situation We have stuck due  Covid19  World wide Lock downGOI has forget for Stranded Indians in SrilankaBecause Srilanka evacuation name has not come till now
1100,Similar  situation  arising in South Africa Mr President CyrilRamaphosa  The rich are just getting richer while the poor  are losing their jobs they and their children are going hungry A scandal really COVID19   https twittercombriantylercohe nstatus1261807294985064448   …
1101,In view of the COVID19  pandemic and the worst economic  situation  the govt of Pakistan should waive the annual  semester fee of students studying in all govt and private universities  colleges Now is the time to do justice to millions of students in Pakistan  NoClassesNoFee
1102, PMOIndia   FinMinIndia  MoHUA India  PMAYUrban   Respected Sirs Requesting for an  extension  on submission on PMAY applications for MIG as we are unable to submit due to the current  Covid   19   lockdown  as the due was 3132020 This would be v
1103,Prime Minister narendramodi  said the first two weeks of Unlock  has shown India  can minimise the damage effect COVID19  coronavirus  Economy  TheWeek  TheWeekLive https bitly2Y65yyf  
1104,Despite 1 of strictest  lockdown  I still wonder why  India ’s situation isn’t getting controlled When all other countries have decided to reopen we have entered  Lockdown  40 I can’t resist thinking if it’s the right decision or the way of hiding failures COVID  19  Lockdown4
1105,5கோடி ரூபாய் வழங்கும் கேப்டன் விஜயகாந்த்  Vijayakanth  கொரோனாவைரஸ்  Tamil  TamilNadu  BREAKING  LockDown   CoronaVirus  India  lockdownindia  CoronavirusOutbreak  Lockdown  Lockdown2    httpswww tamilannewzcompagesvijayaka nthdonates5crore   …
1106,Gas leak at LG Polymers in Vishakapatnam  is more fatal and terrifying  situation  than COVID19   Many are suffocating aged and children are most vulnerable animals are dying  I extend my heartfelt condolences to all the families who lost their dear ones  VizagGasLeak   pictwittercomnKrc6MIx4q
1107,Respected sir Sir apne elan kar diya Jarorlekin kuch chij kuch logo tak nahi pahuchta he koi agent ata he document le jata he uske bat bhi kuch nahi milta this is shame for our country sir basically in this  situation   Covid19 Around 10 yrs We r in Noida     I am so sorry
1108,Migrant workers are facing huge difficulties amid the Lockdown3    The Delhi  govt is seeking advice from Union Govt to reopen the economy partially  But is Delhi ready to reopen    httpswww mapsofindiacommyindiagover nmentisdelhireadytoopencmarvindkejriwalgiveshopeofgreaterrelaxationinlockdown40   …  Covid  19  CoronaUpdatesInIndia
1109,It’s kinda sad that the musical just ended like this I’m really hoping for them to hold it online or hopefully the  covid19   situation  can improve  they can still perform in it in the future if not imagine the efforts that they’ve put into practicing   pictwittercomfSfOx18NRs
1110,India  reports 29 more  COVID  19  deaths 1463 new cases  lockdown  extended to May 3   httpswww netindianinnewsnational indiareports29morecovid19deaths1463newcaseslockdownextendedtomay3   …  India  NarendraModi  Lockdown  Extension  Coronavirus  DeathToll  NewCases  COVID19  netindian
1111,He thinks by ignoring the problem and acting like it doesnt existhe can then run for reelection Its time for JOE BIDEN to step up to the plate with his own medical team to update Americans on the  COVID19   situation  after all hes going to inherit the problem
1112,Update of the covid19   situation  in Belgium  Last data points for deaths should be consolidated Remark that the total number of deaths black is estimated by sciensano  while gray data are deceased in hospitals more reliable data No surprise  better fit for gray curve pictwittercomZg5tUsFRbM
1113,Supposedly borders will be open within Europe  or EU  from 3rd June but not the rest of the world K my  situation  doesnt change one bit COVID19  covid19italia
1114,Oga i dont think u get We were already facing though times he made things worse Unemployment dollars insecurity See how he screwed up the  covid19   situation  refused to shutdown airport ordered shutdown without adequate testing less than 25k test Ghana has surpassed 100k
1115,There has never been a  situation  quite like this where trauma is systemic sustained and societal  Stephen Guerriero teachplus  COVID19  Trauma  MentalHealth https edpost2LJSLdT  
1116,I have same  situation  Can you please help
1117, BREAKING  Update on the COVID19   situation  in Manila  Philippines https twittercomManilaPIOstat us1271105887877206016   …
1118,COVID  19  could cost 135 million jobs push 120 million people into poverty in  India  Report  httpwww ecotiin3iTOMY    via recession  joblosses  lockdown4  lockdownextention  india
1119,What this COVID19   situation  shows is sadly how many aholes and covidiot  like elonmusk  there are in this world
1120,Also Just Think You have communist Govt they are creating War  Situation  with India Because Govt wants to divert China people mind from  COVID19  Pandamic Issues to India China War   At Border China Army enters in Our Territory not us   So Who is Creating War  Situation   THINK 
1121,I dont know why you are so much confused political in  india  some day before you against the  lockdown   And today you same against the  unlock    क्या चचा अभी बहुत पढ़ाई बाकी है फिर तुम्हारा    नेतृत्व की क्षमता बढ़ायो राजू
1122,Dear Apple  AppleSupport  I am facing issues with  IPhoneXR When I seek apple support online I just get a message  Try Again or your product is not covered for complimentary technical support In this COVID19   situation  how do I get my problem fixed Please help IphoneXR
